,School Name,Starting Median Salary,Mid-Career Median Salary,Mid-Career 90th Percentile Salary,MORTGAGE,RENT,ELECTRICITY,GAS,EAT-IN,PHONE,HLTH & WELL,VET,REGION,School ID
0,University of Oklahoma,44700,82900,167000,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,0,0
1,Oklahoma State University,42800,80700,151000,247758,776.12,154.08,2.18,13.32,164.24,680.75,46.79,0,1
2,University of Louisiana (UL) at Lafayette,41100,76300,163000,259903,814.16,183.42,2.5,14.38,195.52,654.49,48.02,0,3
3,University of Colorado   Denver,46100,84400,144000,463245,1451,156.76,2.75,14.37,167.1,790.34,55.28,2,4
4,Regis University,48300,73800,117000,463245,1451,156.76,2.75,14.37,167.1,790.34,55.28,2,5
5,University of Akron,41100,70300,127000,343877,1077,162.63,2.85,14.9,173.36,631.23,43.29,1,7
6,Southern Illinois University Carbondale,43000,72500,139000,285928,895.69,161.29,2.68,14.33,171.93,759.56,49.46,1,8
7,San Francisco State University (SFSU),47300,86400,150000,1146835,3593,182.92,3.51,18.87,194.98,901.42,62.84,3,9
8,Georgetown University,55000,110000,248000,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,0,10
9,George Washington University (GWU),47000,97900,194000,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,0,11
10,"American University, Washington D.C.",45300,90800,169000,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,0,12
11,Howard University,46900,81800,138000,859866,2694,162.13,2.73,16.14,172.82,724.3,50.44,0,13
12,Baylor University,48300,88600,200000,282805,885.91,177.55,2.53,12.14,189.26,695.78,49,0,14
13,University of Utah,45400,83200,148000,320281,1003,130.77,2.8,14.31,139.4,695.78,49.26,2,15
14,Penn State   Harrisburg,45700,74000,150000,321322,1007,199.68,2.76,14.51,212.86,662.74,50.9,4,16
15,Stanford University,70400,129000,257000,2140883,6706,181.74,3.16,21.68,193.73,1017.01,65.26,3,17
16,University of Puget Sound,46600,81500,137000,337631,1058,190.63,2.54,16.14,203.2,914.18,59.65,2,18
17,"University of Nevada, Reno (UNR)",46500,82900,143000,370596,1161,141.84,2.95,14.68,151.2,827.11,58.21,2,19
18,Ursinus College,42100,80000,160000,828384,2595,208.74,3,17.05,222.51,793.34,55.18,4,20
19,Gonzaga University,44900,76000,138000,320281,1003,126.75,2.93,14.23,135.11,851.89,50.23,2,21
20,Wentworth Institute of Technology,53000,96700,153000,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,4,22
21,Boston University,49000,93900,193000,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,4,23
22,Northeastern University,50500,86400,159000,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,4,24
23,University of Massachusetts (UMass)   Boston,45600,78200,151000,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,4,25
24,Suffolk University,42100,74000,145000,717943,2249,236.57,2.89,15.52,252.17,1014.76,66.81,4,26
25,Wayne State University,42800,76100,139000,326527,1023,171.18,2.82,13.32,182.47,707.02,50.03,1,27
26,"University of Nevada, Las Vegas (UNLV)",45200,71600,128000,376148,1178,151.23,2.96,15.26,161.21,770.83,51.52,2,28
27,University of Alabama at Birmingham (UAB),39200,70100,125000,299808,939.17,169,2.38,14.02,180.15,628.96,47.2,0,29
28,Evergreen State College,39500,63900,120000,343530,1076,179.56,3.4,15.79,191.41,884.91,49.77,2,30
29,St. Cloud State University,41800,71400,126000,268231,840.25,144.19,2.68,16.71,153.7,875.16,52.91,1,31
30,St. Olaf College,45300,86200,185000,363656,1139,152.74,2.82,15.65,162.81,784.34,55.07,1,32
31,University of Nebraska at Omaha,41500,72600,126000,308136,965.26,144.02,2.4,13.84,153.52,755.06,48.48,1,33
32,University of California at Los Angeles (UCLA),52600,101000,193000,788384,2470,180.74,3.42,16.45,192.66,824.87,54.97,3,35
